compound,concentration_mM,annealing_T,molecular_weight,C,H,Br,I,N,Hbond_donor,rotatable_bond,topPolar_area,heavy_atom,complexity,xlogP,param1_r,param2_r,xinterp_r,max_x_r,param1_g,param2_g,xinterp_g,max_x_g,date
DAI,15,125,313.267,12,28,0,1,1,1,10,27.6,14,81.2,5.3,1.314,-184.8,140.64,225.18,1.2495,-172.58,138.12,225.18,20190620
DMAI,10,100,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2,0.9523,-76.4095,80.238,220.0833,0.8595,-61.0384,71.0162,215.0833,20190530
DMAI,5,50,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2,1.4737,-204.27,138.61,258.18,1.5011,-200,133.24,249.18,20190911
DMAI,10,50,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2,1.0353,-85.217,82.316,198.15,1.1388,-91.399,80.261,201.15,20190911
DMAI,15,50,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2,1.0832,-77.299,71.36,183.13,1.1696,-80.319,68.675,186.13,20190911
DMAI,5,75,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2,0.44119,-40.763,92.392,270.2,0.58271,-61.857,106.16,276.2,20190911
DMAI,10,75,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2,0.42177,-46.283,109.74,348.27,0.42388,-40.128,94.67,351.27,20190911
DMAI,15,75,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2,0.89316,-61.032,68.332,195.13,0.94898,-60.569,63.825,198.15,20190911
DMAI,5,100,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2,1.5138,-186.23,123.02,261.18,1.9612,-249.31,127.12,243.17,20190911
DMAI,10,100,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2,0.61288,-54.747,89.327,237.17,0.87455,-93.727,107.17,240.17,20190911
DMAI,15,100,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2,1.1934,-107.9,90.411,189.13,1.1975,-103.77,86.653,192.13,20190911
DMAI,5,125,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2,0.51968,-48.73,93.769,276.2,0.54141,-50.889,93.994,261.18,20190911
DMAI,10,125,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2,0.94898,-88.557,93.318,261.18,0.97774,-90.187,92.24,222.17,20190911
DMAI,15,125,172.997,2,8,0,1,1,2,0,12,4,2.8,-0.2,0.56606,-27.171,48.001,219.15,0.62335,-26.908,43.167,222.17,20190911
EAI,10,100,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3,1.0535,-105.4779,100.1214,245.0833,0.9773,-91.1377,93.2514,235.0833,20190530
EAI,5,50,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3,1.5895,-226.74,142.64,255.12,1.6238,-233.52,143.81,250.12,20190904
EAI,10,50,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3,1.4839,-194.37,130.99,230.1,1.6219,-217.31,133.98,220.1,20190904
EAI,15,50,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3,0.99024,-123.92,125.14,225.1,1.0122,-126.17,124.64,225.1,20190904
EAI,5,75,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3,2.3359,-317.31,135.84,230.1,2.5216,-346.22,137.3,225.1,20190904
EAI,10,75,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3,0.9727,-104.34,107.27,295.13,1.2727,-142.49,111.95,285.13,20190904
EAI,15,75,172.997,2,8,0,1,1,2,0,26,4,2.8,-0.3,1.4099,-174.65,123.87,230.1,1.3817,-167.48,121.21,220.1,20190904
